segment,label,speaker
5.1s - 5.2s,speech,SPEAKER_00
14.9s - 16.3s,speech,SPEAKER_00
18.0s - 19.2s,speech,SPEAKER_00
19.9s - 22.7s,speech,SPEAKER_00
22.9s - 24.2s,speech,SPEAKER_00
24.3s - 26.0s,speech,SPEAKER_00
28.2s - 30.8s,speech,SPEAKER_01
31.7s - 33.3s,speech,SPEAKER_01
33.3s - 33.6s,speech,SPEAKER_00
33.7s - 35.0s,speech,SPEAKER_00
36.5s - 37.5s,speech,SPEAKER_00
41.0s - 41.7s,speech,SPEAKER_00
42.4s - 43.1s,speech,SPEAKER_01
44.3s - 45.0s,speech,SPEAKER_01
45.2s - 46.3s,speech,SPEAKER_00
46.3s - 48.5s,speech,SPEAKER_01
48.7s - 51.8s,speech,SPEAKER_00
51.9s - 51.9s,speech,SPEAKER_00
51.9s - 52.2s,speech,SPEAKER_01
52.2s - 52.9s,speech,SPEAKER_00
53.3s - 53.5s,speech,SPEAKER_01
53.5s - 53.7s,speech,SPEAKER_00
53.9s - 54.3s,speech,SPEAKER_00
54.6s - 55.3s,speech,SPEAKER_00
55.6s - 58.1s,speech,SPEAKER_00
60.0s - 60.9s,speech,SPEAKER_00
61.0s - 64.1s,speech,SPEAKER_00
68.8s - 70.0s,speech,SPEAKER_01
72.9s - 73.8s,speech,SPEAKER_00
76.8s - 79.6s,speech,SPEAKER_00
81.0s - 81.8s,speech,SPEAKER_00
82.8s - 83.9s,speech,SPEAKER_00
86.2s - 87.8s,speech,SPEAKER_02
88.9s - 89.9s,speech,SPEAKER_02
92.0s - 92.6s,speech,SPEAKER_00
92.7s - 94.3s,speech,SPEAKER_00
94.5s - 96.4s,speech,SPEAKER_00
94.5s - 96.4s,speech,SPEAKER_01
98.0s - 99.4s,speech,SPEAKER_00
101.5s - 102.0s,speech,SPEAKER_00
102.0s - 102.1s,speech,SPEAKER_00
